"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Rhode Island : all sectors","million dollars","ELEC.REV.RI-ALL.A",1254,1083,1098,1008,982,1067,1178,1304,1225,1213,1373,1359
"Rhode Island : residential","million dollars","ELEC.REV.RI-RES.A",531,458,496,449,450,481,527,605,574,555,642,648
"Rhode Island : commercial","million dollars","ELEC.REV.RI-COM.A",570,504,484,453,432,474,533,584,543,548,613,597
"Rhode Island : industrial","million dollars","ELEC.REV.RI-IND.A",153,121,114,103,99,109,114,110,103,106,113,108
"Rhode Island : transportation","million dollars","ELEC.REV.RI-TRA.A",0,0,4,4,2,3,4,5,5,5,5,5
"Rhode Island : other","million dollars","ELEC.REV.RI-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont","million dollars","ELEC.REV.VT-ALL.A",,,,,,,,,,,,
"Vermont : all sectors","million dollars","ELEC.REV.VT-ALL.A",708,701,741,766,784,817,811,795,798,792,837,834
"Vermont : residential","million dollars","ELEC.REV.VT-RES.A",309,316,331,346,356,364,371,357,357,358,381,369
"Vermont : commercial","million dollars","ELEC.REV.VT-COM.A",255,258,272,281,285,296,296,292,293,289,305,309
"Vermont : industrial","million dollars","ELEC.REV.VT-IND.A",144,127,138,139,142,157,145,146,148,145,150,156
"Vermont : transportation","million dollars","ELEC.REV.VT-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Vermont : other","million dollars","ELEC.REV.VT-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Middle Atlantic","million dollars","ELEC.REV.MAT-ALL.A",,,,,,,,,,,,
"Middle Atlantic : all sectors","million dollars","ELEC.REV.MAT-ALL.A",49372,46439,50713,49420,46285,47399,49331,48212,46276,45624,47336,45088
"Middle Atlantic : residential","million dollars","ELEC.REV.MAT-RES.A",19675,19146,21587,21395,20195,20972,21649,21487,20977,20552,21974,21039
"Middle Atlantic : commercial","million dollars","ELEC.REV.MAT-COM.A",23137,21541,22956,21713,20395,20596,21572,20937,19808,19601,19729,18705
"Middle Atlantic : industrial","million dollars","ELEC.REV.MAT-IND.A",6085,5246,5661,5803,5206,5344,5621,5331,5071,5040,5191,4925
"Middle Atlantic : transportation","million dollars","ELEC.REV.MAT-TRA.A",474,505,509,509,489,486,489,457,419,431,441,418
"Middle Atlantic : other","million dollars","ELEC.REV.MAT-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New Jersey","million dollars","ELEC.REV.NJ-ALL.A",,,,,,,,,,,,
"New Jersey : all sectors","million dollars","ELEC.REV.NJ-ALL.A",11615,11012,11626,10991,10267,10222,10303,10370,10082,9777,10057,9922
"New Jersey : residential","million dollars","ELEC.REV.NJ-RES.A",4560,4541,5022,4773,4524,4490,4400,4607,4574,4344,4550,4535
"New Jersey : commercial","million dollars","ELEC.REV.NJ-COM.A",5694,5450,5571,5268,4899,4884,5016,4952,4740,4663,4737,4651
"New Jersey : industrial","million dollars","ELEC.REV.NJ-IND.A",1322,981,995,918,816,817,856,779,741,743,742,710
"New Jersey : transportation","million dollars","ELEC.REV.NJ-TRA.A",40,40,38,33,28,32,32,31,26,27,28,27
"New Jersey : other","million dollars","ELEC.REV.NJ-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New York","million dollars","ELEC.REV.NY-ALL.A",,,,,,,,,,,,
"New York : all sectors","million dollars","ELEC.REV.NY-ALL.A",23726,21624,23735,22889,21683,22836,23951,22747,21388,21366,22233,20884
"New York : residential","million dollars","ELEC.REV.NY-RES.A",8978,8443,9548,9357,8930,9544,10031,9456,8934,8849,9659,8995
"New York : commercial","million dollars","ELEC.REV.NY-COM.A",13000,11660,12601,12079,11446,11722,12341,11786,11054,11111,11128,10557
"New York : industrial","million dollars","ELEC.REV.NY-IND.A",1379,1123,1185,1051,918,1179,1184,1141,1068,1055,1088,985
"New York : transportation","million dollars","ELEC.REV.NY-TRA.A",369,397,402,401,390,391,394,365,332,350,359,346
"New York : other","million dollars","ELEC.REV.NY-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Pennsylvania","million dollars","ELEC.REV.PA-ALL.A",,,,,,,,,,,,
"Pennsylvania : all sectors","million dollars","ELEC.REV.PA-ALL.A",14030,13803,15352,15540,14335,14341,15078,15095,14806,14481,15045,14282
"Pennsylvania : residential","million dollars","ELEC.REV.PA-RES.A",6137,6162,7017,7265,6742,6938,7218,7423,7470,7359,7765,7509
"Pennsylvania : commercial","million dollars","ELEC.REV.PA-COM.A",4444,4431,4784,4365,4050,3991,4216,4199,4014,3826,3864,3498
"Pennsylvania : industrial","million dollars","ELEC.REV.PA-IND.A",3384,3142,3481,3834,3472,3348,3581,3412,3262,3242,3362,3230
"Pennsylvania : transportation","million dollars","ELEC.REV.PA-TRA.A",65,68,70,75,71,64,63,61,60,54,55,45
"Pennsylvania : other","million dollars","ELEC.REV.PA-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"East North Central","million dollars","ELEC.REV.ENC-ALL.A",,,,,,,,,,,,
"East North Central : all sectors","million dollars","ELEC.REV.ENC-ALL.A",50064,48707,52400,53191,53269,53558,56337,55713,56600,56053,58523,56642
"East North Central : residential","million dollars","ELEC.REV.ENC-RES.A",19780,19943,22253,22595,22730,22820,23784,23730,24536,23951,25681,24929
"East North Central : commercial","million dollars","ELEC.REV.ENC-COM.A",16827,16554,17171,17404,17336,17519,18328,18252,18498,18465,18887,18378
"East North Central : industrial","million dollars","ELEC.REV.ENC-IND.A",13407,12158,12933,13153,13164,13182,14179,13690,13525,13598,13912,13290
"East North Central : transportation","million dollars","ELEC.REV.ENC-TRA.A",50,51,43,40,39,36,46,41,40,39,43,45
"East North Central : other","million dollars","ELEC.REV.ENC-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Illinois","million dollars","ELEC.REV.IL-ALL.A",,,,,,,,,,,,
"Illinois : all sectors","million dollars","ELEC.REV.IL-ALL.A",13346,12504,13213,12821,12053,11707,13246,13033,13231,13020,13696,13228
"Illinois : residential","million dollars","ELEC.REV.IL-RES.A",5178,4996,5599,5545,5335,4928,5481,5581,5765,5662,6029,5891
"Illinois : commercial","million dollars","ELEC.REV.IL-COM.A",4786,4552,4565,4361,4058,4111,4688,4540,4592,4543,4631,4476
"Illinois : industrial","million dollars","ELEC.REV.IL-IND.A",3339,2911,3011,2879,2625,2638,3037,2875,2840,2782,2999,2822
"Illinois : transportation","million dollars","ELEC.REV.IL-TRA.A",43,44,38,35,34,31,40,36,35,33,37,39
"Illinois : other","million dollars","ELEC.REV.IL-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Indiana","million dollars","ELEC.REV.IN-ALL.A",,,,,,,,,,,,
"Indiana : all sectors","million dollars","ELEC.REV.IN-ALL.A",7582,7567,8127,8474,8721,9205,9686,9399,9557,9673,10161,10114
"Indiana : residential","million dollars","ELEC.REV.IN-RES.A",3015,3093,3350,3410,3470,3673,3862,3753,3892,3878,4240,4183
"Indiana : commercial","million dollars","ELEC.REV.IN-COM.A",1921,1971,2041,2116,2196,2328,2403,2349,2425,2495,2576,2594
"Indiana : industrial","million dollars","ELEC.REV.IN-IND.A",2644,2501,2734,2946,3053,3202,3419,3295,3238,3298,3343,3335
"Indiana : transportation","million dollars","ELEC.REV.IN-TRA.A",2,2,2,2,2,2,2,2,2,2,2,2
"Indiana : other","million dollars","ELEC.REV.IN-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Michigan","million dollars","ELEC.REV.MI-ALL.A",,,,,,,,,,,,
"Michigan : all sectors","million dollars","ELEC.REV.MI-ALL.A",9447,9227,10245,10926,11510,11550,11398,11023,11543,11496,11954,11701
"Michigan : residential","million dollars","ELEC.REV.MI-RES.A",3685,3813,4321,4621,4871,4962,4846,4811,5258,5078,5427,5273
"Michigan : commercial","million dollars","ELEC.REV.MI-COM.A",3575,3501,3741,3989,4211,4171,4060,4057,4147,4217,4339,4313
"Michigan : industrial","million dollars","ELEC.REV.MI-IND.A",2186,1913,2183,2315,2427,2417,2491,2155,2138,2201,2187,2114
"Michigan : transportation","million dollars","ELEC.REV.MI-TRA.A",1,1,1,0,1,1,0,0,0,1,1,1
"Michigan : other","million dollars","ELEC.REV.MI-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Ohio","million dollars","ELEC.REV.OH-ALL.A",,,,,,,,,,,,
"Ohio : all sectors","million dollars","ELEC.REV.OH-ALL.A",13376,13195,14091,13969,13908,13831,14661,14886,14825,14433,15203,14229
"Ohio : residential","million dollars","ELEC.REV.OH-RES.A",5371,5484,6162,6133,6148,6264,6598,6591,6551,6287,6840,6464
"Ohio : commercial","million dollars","ELEC.REV.OH-COM.A",4367,4380,4528,4535,4429,4367,4618,4743,4762,4640,4769,4470
"Ohio : industrial","million dollars","ELEC.REV.OH-IND.A",3632,3326,3398,3298,3328,3196,3441,3549,3509,3503,3592,3292
"Ohio : transportation","million dollars","ELEC.REV.OH-TRA.A",5,4,3,2,2,3,4,3,3,3,3,3
"Ohio : other","million dollars","ELEC.REV.OH-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Wisconsin","million dollars","ELEC.REV.WI-ALL.A",,,,,,,,,,,,
"Wisconsin : all sectors","million dollars","ELEC.REV.WI-ALL.A",6313,6214,6723,7003,7078,7265,7345,7372,7443,7430,7508,7370
"Wisconsin : residential","million dollars","ELEC.REV.WI-RES.A",2530,2557,2821,2885,2905,2993,2996,2994,3069,3046,3146,3118
"Wisconsin : commercial","million dollars","ELEC.REV.WI-COM.A",2177,2150,2296,2403,2442,2542,2558,2562,2572,2571,2571,2525
"Wisconsin : industrial","million dollars","ELEC.REV.WI-IND.A",1606,1508,1606,1715,1731,1730,1791,1816,1802,1814,1791,1727
"Wisconsin : transportation","million dollars","ELEC.REV.WI-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Wisconsin : other","million dollars","ELEC.REV.WI-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"West North Central","million dollars","ELEC.REV.WNC-ALL.A",,,,,,,,,,,,
"West North Central : all sectors","million dollars","ELEC.REV.WNC-ALL.A",20749,21050,23307,24319,25069,26716,27477,27379,28312,28874,30256,29360
"West North Central : residential","million dollars","ELEC.REV.WNC-RES.A",8997,9301,10394,10751,10888,11633,11860,11654,12127,12190,13184,12643
"West North Central : commercial","million dollars","ELEC.REV.WNC-COM.A",7096,7259,7867,8185,8446,9064,9319,9431,9802,9995,10223,9911
"West North Central : industrial","million dollars","ELEC.REV.WNC-IND.A",4653,4487,5042,5380,5733,6015,6295,6289,6378,6685,6845,6802
"West North Central : transportation","million dollars","ELEC.REV.WNC-TRA.A",3,3,3,3,3,4,4,4,4,4,4,4
"West North Central : other","million dollars","ELEC.REV.WNC-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Iowa","million dollars","ELEC.REV.IA-ALL.A",,,,,,,,,,,,
"Iowa : all sectors","million dollars","ELEC.REV.IA-ALL.A",3135,3215,3480,3451,3524,3769,3847,3936,4143,4273,4566,4636
"Iowa : residential","million dollars","ELEC.REV.IA-RES.A",1336,1371,1517,1499,1513,1615,1610,1604,1682,1693,1817,1806
"Iowa : commercial","million dollars","ELEC.REV.IA-COM.A",875,884,952,949,978,1050,1070,1077,1127,1148,1203,1230
"Iowa : industrial","million dollars","ELEC.REV.IA-IND.A",925,961,1011,1003,1033,1104,1167,1255,1333,1432,1546,1600
"Iowa : transportation","million dollars","ELEC.REV.IA-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Iowa : other","million dollars","ELEC.REV.IA-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Kansas","million dollars","ELEC.REV.KS-ALL.A",,,,,,,,,,,,
"Kansas : all sectors","million dollars","ELEC.REV.KS-ALL.A",2979,3051,3374,3623,3761,3872,4120,4042,4283,4270,4505,4224
"Kansas : residential","million dollars","ELEC.REV.KS-RES.A",1201,1254,1437,1527,1551,1583,1666,1635,1764,1732,1894,1733
"Kansas : commercial","million dollars","ELEC.REV.KS-COM.A",1153,1182,1273,1370,1427,1476,1558,1553,1664,1667,1723,1638
"Kansas : industrial","million dollars","ELEC.REV.KS-IND.A",625,616,664,725,783,814,897,854,855,870,887,853
"Kansas : transportation","million dollars","ELEC.REV.KS-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Kansas : other","million dollars","ELEC.REV.KS-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Minnesota","million dollars","ELEC.REV.MN-ALL.A",,,,,,,,,,,,
"Minnesota : all sectors","million dollars","ELEC.REV.MN-ALL.A",5358,5209,5701,5929,6025,6458,6541,6346,6646,6898,7122,6915
"Minnesota : residential","million dollars","ELEC.REV.MN-RES.A",2177,2212,2379,2469,2504,2698,2738,2631,2763,2814,3001,2907
"Minnesota : commercial","million dollars","ELEC.REV.MN-COM.A",1781,1766,1887,1930,1989,2171,2249,2207,2316,2439,2429,2369
"Minnesota : industrial","million dollars","ELEC.REV.MN-IND.A",1399,1229,1433,1528,1531,1587,1552,1506,1564,1643,1689,1637
"Minnesota : transportation","million dollars","ELEC.REV.MN-TRA.A",2,2,2,2,2,2,2,2,2,2,2,2
"Minnesota : other","million dollars","ELEC.REV.MN-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Missouri","million dollars","ELEC.REV.MO-ALL.A",,,,,,,,,,,,
"Missouri : all sectors","million dollars","ELEC.REV.MO-ALL.A",5768,5872,6699,7008,7029,7538,7644,7696,7661,7672,8148,7636
"Missouri : residential","million dollars","ELEC.REV.MO-RES.A",2832,2924,3386,3503,3492,3745,3808,3800,3851,3844,4249,3976
"Missouri : commercial","million dollars","ELEC.REV.MO-COM.A",2057,2131,2358,2491,2499,2687,2729,2798,2846,2858,2931,2734
"Missouri : industrial","million dollars","ELEC.REV.MO-IND.A",879,816,954,1013,1037,1105,1106,1096,962,968,966,925
"Missouri : transportation","million dollars","ELEC.REV.MO-TRA.A",1,1,1,2,2,2,2,2,2,2,2,2
"Missouri : other","million dollars","ELEC.REV.MO-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Nebraska","million dollars","ELEC.REV.NE-ALL.A",,,,,,,,,,,,
"Nebraska : all sectors","million dollars","ELEC.REV.NE-ALL.A",1895,2050,2244,2338,2581,2683,2671,2627,2732,2756,2792,2759
"Nebraska : residential","million dollars","ELEC.REV.NE-RES.A",768,820,903,927,972,1038,1043,1011,1056,1060,1114,1110
"Nebraska : commercial","million dollars","ELEC.REV.NE-COM.A",631,683,728,730,774,807,831,807,819,822,843,837
"Nebraska : industrial","million dollars","ELEC.REV.NE-IND.A",496,547,613,681,835,837,797,809,858,873,834,813
"Nebraska : transportation","million dollars","ELEC.REV.NE-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Nebraska : other","million dollars","ELEC.REV.NE-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"North Dakota","million dollars","ELEC.REV.ND-ALL.A",,,,,,,,,,,,
"North Dakota : all sectors","million dollars","ELEC.REV.ND-ALL.A",830,839,921,1030,1152,1315,1535,1586,1655,1768,1842,1908
"North Dakota : residential","million dollars","ELEC.REV.ND-RES.A",320,337,357,391,406,459,490,468,482,499,526,528
"North Dakota : commercial","million dollars","ELEC.REV.ND-COM.A",304,310,340,370,410,477,475,555,580,600,622,634
"North Dakota : industrial","million dollars","ELEC.REV.ND-IND.A",207,191,224,269,336,378,570,564,593,669,694,747
"North Dakota : transportation","million dollars","ELEC.REV.ND-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"North Dakota : other","million dollars","ELEC.REV.ND-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota","million dollars","ELEC.REV.SD-ALL.A",,,,,,,,,,,,
"South Dakota : all sectors","million dollars","ELEC.REV.SD-ALL.A",784,813,888,940,996,1081,1118,1146,1193,1238,1282,1281
"South Dakota : residential","million dollars","ELEC.REV.SD-RES.A",365,383,415,435,448,495,505,507,530,548,582,584
"South Dakota : commercial","million dollars","ELEC.REV.SD-COM.A",295,303,330,345,369,397,406,435,450,460,472,469
"South Dakota : industrial","million dollars","ELEC.REV.SD-IND.A",124,128,143,160,179,190,206,205,213,230,228,228
"South Dakota : transportation","million dollars","ELEC.REV.SD-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"South Dakota : other","million dollars","ELEC.REV.SD-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"South Atlantic","million dollars","ELEC.REV.SAT-ALL.A",,,,,,,,,,,,
"South Atlantic : all sectors","million dollars","ELEC.REV.SAT-ALL.A",74890,77377,79324,78000,75973,76733,81144,81280,79906,79761,82683,83250
"South Atlantic : residential","million dollars","ELEC.REV.SAT-RES.A",36779,39176,41172,39652,38314,39047,41752,42175,41790,41439,43771,44201
"South Atlantic : commercial","million dollars","ELEC.REV.SAT-COM.A",28510,29181,28807,28912,28421,28451,29710,29576,28983,29092,29507,29764
"South Atlantic : industrial","million dollars","ELEC.REV.SAT-IND.A",9458,8883,9221,9317,9129,9120,9569,9421,9028,9128,9299,9175
"South Atlantic : transportation","million dollars","ELEC.REV.SAT-TRA.A",143,137,124,119,109,114,113,109,105,102,105,109
"South Atlantic : other","million dollars","ELEC.REV.SAT-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Delaware","million dollars","ELEC.REV.DE-ALL.A",,,,,,,,,,,,
"Delaware : all sectors","million dollars","ELEC.REV.DE-ALL.A",1455,1374,1390,1319,1274,1237,1272,1285,1249,1214,1242,1207
"Delaware : residential","million dollars","ELEC.REV.DE-RES.A",617,610,657,635,614,592,617,651,639,622,635,628
"Delaware : commercial","million dollars","ELEC.REV.DE-COM.A",525,504,491,453,430,424,441,433,426,414,419,421
"Delaware : industrial","million dollars","ELEC.REV.DE-IND.A",313,260,242,231,230,221,214,201,183,177,188,157
"Delaware : transportation","million dollars","ELEC.REV.DE-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Delaware : other","million dollars","ELEC.REV.DE-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia","million dollars","ELEC.REV.DC-ALL.A",,,,,,,,,,,,
"District Of Columbia : all sectors","million dollars","ELEC.REV.DC-ALL.A",1530,1513,1586,1481,1335,1314,1356,1362,1337,1288,1367,1354
"District Of Columbia : residential","million dollars","ELEC.REV.DC-RES.A",245,261,297,276,246,256,264,324,308,310,333,331
"District Of Columbia : commercial","million dollars","ELEC.REV.DC-COM.A",1214,1192,1236,1157,1048,1015,1042,987,981,933,986,975
"District Of Columbia : industrial","million dollars","ELEC.REV.DC-IND.A",27,20,18,15,12,13,20,21,17,15,16,15
"District Of Columbia : transportation","million dollars","ELEC.REV.DC-TRA.A",44,40,34,32,29,31,29,30,32,30,32,33
"District Of Columbia : other","million dollars","ELEC.REV.DC-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Florida","million dollars","ELEC.REV.FL-ALL.A",,,,,,,,,,,,
"Florida : all sectors","million dollars","ELEC.REV.FL-ALL.A",24296,25825,24460,23880,23029,22678,24339,24719,23348,24286,24614,25103
"Florida : residential","million dollars","ELEC.REV.FL-RES.A",13279,14303,13982,13389,12807,12770,13855,14217,13545,14098,14485,14883
"Florida : commercial","million dollars","ELEC.REV.FL-COM.A",9446,9937,8942,9040,8895,8653,9170,9106,8507,8882,8845,8950
"Florida : industrial","million dollars","ELEC.REV.FL-IND.A",1562,1577,1529,1444,1320,1247,1306,1388,1288,1299,1276,1263
"Florida : transportation","million dollars","ELEC.REV.FL-TRA.A",9,9,7,8,7,8,9,9,8,7,7,7
"Florida : other","million dollars","ELEC.REV.FL-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia","million dollars","ELEC.REV.GA-ALL.A",,,,,,,,,,,,
"Georgia : all sectors","million dollars","ELEC.REV.GA-ALL.A",11951,11516,12481,13109,12275,12650,13614,13070,13240,13115,13453,13740
"Georgia : residential","million dollars","ELEC.REV.GA-RES.A",5517,5588,6198,6384,5996,6136,6659,6511,6659,6517,6847,6979
"Georgia : commercial","million dollars","ELEC.REV.GA-COM.A",4250,4120,4338,4631,4400,4529,4827,4663,4688,4667,4633,4752
"Georgia : industrial","million dollars","ELEC.REV.GA-IND.A",2170,1796,1932,2080,1866,1972,2116,1887,1884,1922,1963,1999
"Georgia : transportation","million dollars","ELEC.REV.GA-TRA.A",13,13,13,14,12,13,12,9,9,9,9,10
"Georgia : other","million dollars","ELEC.REV.GA-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Maryland","million dollars","ELEC.REV.MD-ALL.A",,,,,,,,,,,,
"Maryland : all sectors","million dollars","ELEC.REV.MD-ALL.A",8237,8194,8301,7591,6974,7215,7465,7458,7492,7106,7182,6823
"Maryland : residential","million dollars","ELEC.REV.MD-RES.A",3757,4037,4143,3634,3425,3638,3746,3787,3886,3641,3742,3611
"Maryland : commercial","million dollars","ELEC.REV.MD-COM.A",3831,3572,3617,3468,3141,3202,3325,3296,3262,3107,3083,2880
"Maryland : industrial","million dollars","ELEC.REV.MD-IND.A",587,527,487,439,364,330,348,331,301,318,318,290
"Maryland : transportation","million dollars","ELEC.REV.MD-TRA.A",62,58,54,49,44,46,46,45,42,41,39,42
"Maryland : other","million dollars","ELEC.REV.MD-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"North Carolina","million dollars","ELEC.REV.NC-ALL.A",,,,,,,,,,,,
"North Carolina : all sectors","million dollars","ELEC.REV.NC-ALL.A",10359,10821,11823,11332,11721,11991,12422,12547,12362,11881,12797,12893
"North Carolina : residential","million dollars","ELEC.REV.NC-RES.A",5306,5627,6288,5955,5963,6172,6511,6532,6446,6138,6835,6834
"North Carolina : commercial","million dollars","ELEC.REV.NC-COM.A",3515,3690,3911,3780,4030,4085,4158,4210,4189,4043,4229,4331
"North Carolina : industrial","million dollars","ELEC.REV.NC-IND.A",1537,1504,1623,1597,1727,1733,1752,1804,1725,1699,1732,1727
"North Carolina : transportation","million dollars","ELEC.REV.NC-TRA.A",0,0,0,1,1,1,1,1,1,0,1,2
"North Carolina : other","million dollars","ELEC.REV.NC-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"South Carolina","million dollars","ELEC.REV.SC-ALL.A",,,,,,,,,,,,
"South Carolina : all sectors","million dollars","ELEC.REV.SC-ALL.A",6335,6432,7004,7081,7080,7265,7890,7792,7788,7783,7891,8036
"South Carolina : residential","million dollars","ELEC.REV.SC-RES.A",2939,3087,3450,3405,3338,3456,3824,3778,3874,3804,3963,4048
"South Carolina : commercial","million dollars","ELEC.REV.SC-COM.A",1826,1873,1986,2008,2046,2086,2226,2240,2289,2301,2248,2345
